individual,mode,choice,ttme,invc,invt,gc,hinc,psize,mode_name,total_time,cost_per_income,party_adjusted_cost,gc_rel_min,time_rel_min,is_lowest_gc,is_fastest,gc_vs_mean,time_vs_mean
1,1,0,69.0,59.0,100.0,70.0,35.0,1.0,air,169.0,1.9999999428571447,70.0,40.0,0.0,0,1,1.1618257068576647,0.5600662781770794
1,2,0,34.0,31.0,372.0,71.0,35.0,1.0,train,406.0,2.0285713706122466,71.0,41.0,237.0,0,0,1.1784232169556312,1.3454846682833979
1,3,0,35.0,25.0,417.0,70.0,35.0,1.0,bus,452.0,1.9999999428571447,70.0,40.0,283.0,0,0,1.1618257068576647,1.4979287440002362
1,4,1,0.0,10.0,180.0,30.0,35.0,1.0,car,180.0,0.857142832653062,30.0,0.0,11.0,1,0,0.4979253029389991,0.5965202962832798
2,1,0,64.0,58.0,68.0,68.0,30.0,2.0,air,132.0,2.2666665911111137,34.0,18.0,0.0,0,1,0.9477351784287781,0.42683912553972797
2,2,0,44.0,31.0,354.0,84.0,30.0,2.0,train,398.0,2.79999990666667,42.0,34.0,266.0,0,0,1.1707316910002552,1.2869846360970585
2,3,0,53.0,25.0,399.0,85.0,30.0,2.0,bus,452.0,2.833333238888892,42.5,35.0,320.0,0,0,1.1846689730359725,1.4616006419996745
2,4,1,0.0,11.0,255.0,50.0,30.0,2.0,car,255.0,1.6666666111111128,25.0,0.0,123.0,1,0,0.6968641017858662,0.8245755834290199
3,1,0,69.0,115.0,125.0,129.0,40.0,1.0,air,194.0,3.2249999193750023,129.0,28.0,0.0,0,1,0.89895469756826,0.2814653604911638
3,2,0,34.0,98.0,892.0,195.0,40.0,1.0,train,926.0,4.874999878125004,195.0,94.0,732.0,0,0,1.358885007952021,1.343489298014524
3,3,0,35.0,53.0,882.0,149.0,40.0,1.0,bus,917.0,3.7249999068750026,149.0,48.0,723.0,0,0,1.0383275188966723,1.330431626651532
3,4,1,0.0,23.0,720.0,101.0,40.0,1.0,car,720.0,2.524999936875002,101.0,0.0,526.0,1,0,0.7038327477084826,1.0446137090393708
4,1,0,64.0,49.0,68.0,59.0,70.0,3.0,air,132.0,0.8428571308163267,19.666666666666668,27.0,0.0,0,1,0.9402390288408123,0.4543889829453047
4,2,0,44.0,26.0,354.0,79.0,70.0,3.0,train,398.0,1.1285714124489798,26.333333333333332,47.0,266.0,0,0,1.2589641233631217,1.3700516303956916
